name,name_local,ADM1_PCODE,ADM2_PCODE
South Jakarta,Jakarta Selatan,ID31,ID3171
East Jakarta,Jakarta Timur,ID31,ID3172
Central Jakarta,Jakarta Pusat,ID31,ID3173
West Jakarta,Jakarta Barat,ID31,ID3174
North Jakarta,Jakarta Utara,ID31,ID3175
Bogor,Kab. Bogor,ID32,ID3201
Sukabumi,Kab. Sukabumi,ID32,ID3202
Cianjur,Kab. Cianjur,ID32,ID3203
Karawang,Kab. Karawang,ID32,ID3215
Purwakarta,Kab. Purwakarta,ID32,ID3214
Subang,Kab. Subang,ID32,ID3213
Cirebon City,Kota Cirebon,ID32,ID3274
Cirebon,Kab. Cirebon ,ID32,ID3209
Indramayu,Kab. Indramayu ,ID32,ID3212
Kuningan,Kab. Kuningan,ID32,ID3208
Bandung City,Kota Bandung ,ID32,ID3273
Bandung Barat,Kab Bandung Barat,ID32,ID3217
West Bandung,Kab Bandung Barat,ID32,ID3217
Bandung,Kab. Bandung ,ID32,ID3204
Sumedang,Kab. Sumedang,ID32,ID3211
Garut,Kab. Garut,ID32,ID3205
Tasikmalaya City,Kota Tasikmalaya,ID32,ID3278
Tasikmalaya,Kab. Tasikmalaya,ID32,ID3206
Ciamis,Kab. Ciamis,ID32,ID3207
Pangandaran,Kab. Pangandaran,ID32,ID3218
Cimahi City,Kota Cimahi,ID32,ID3277
Banjar City,Kota Banjar,ID32,ID3279
Majalengka,Kab. Majalengka,ID32,ID3210
Depok City,Kota Depok ,ID32,ID3276
Bekasi City,Kota Bekasi,ID32,ID3275
Bekasi,Kab. Bekasi ,ID32,ID3216
Bogor City,Kota Bogor,ID32,ID3271
Sukabumi City,Kota Sukabumi,ID32,ID3272
Pandeglang,Kab. Pandeglang,ID36,ID3601
Lebak,Kab. Lebak,ID36,ID3602
Tangerang,Kab. Tangerang,ID36,ID3603
Serang,Kab. Serang,ID36,ID3604
Tangerang City,Kota Tangerang,ID36,ID3671
Cilegon City,Kota Cilegon,ID36,ID3672
Serang City,Kota Serang,ID36,ID3673
South Tangerang City,Kota Tangerang Selatan,ID36,ID3674
Lampung Barat,Kab. Lampung Barat,ID18,ID1801
West Lampung,Kab. Lampung Barat,ID18,ID1801
Tanggamus,Kab. Tanggamus,ID18,ID1802
Tanggamis,Kab. Tanggamus,ID18,ID1802
South Lampung,Kab. Lampung Selatan,ID18,ID1803
Lampung Timur,Kab. Lampung Timur,ID18,ID1804
Lampung Tengah,Kab. Lampung Tengah,ID18,ID1805
Lampung Utara,Kab. Lampung Utara,ID18,ID1806
Lampung Selatan,Kab. Lampung Selatan,ID18,ID1803
East Lampung,Kab. Lampung Timur,ID18,ID1804
Central Lampung,Kab. Lampung Tengah,ID18,ID1805
North Lampung,Kab. Lampung Utara,ID18,ID1806
Way Kanan,Kab. Way Kanan,ID18,ID1807
Tulang Bawang,Kab. Tulang Bawang,ID18,ID1808
Pesawaran,Kab. Pesawaran,ID18,ID1809
Pringsewu,Kab. Pringsewu,ID18,ID1810
Mesuji,Kab. Mesuji,ID18,ID1811
Tulang Bawang Barat,Kab. Tulang Bawang Barat,ID18,ID1812
West Tulang Bawang,Kab. Tulang Bawang Barat,ID18,ID1812
Pesisir Barat,Kab. Pesisir Barat,ID18,ID1813
Bandar Lampung City,Kota Bandar Lampung,ID18,ID1871
Metro City,Kota Metro,ID18,ID1872
Cilacap,Kab. Cilacap,ID33,ID3301
Banyumas,Kab. Banyumas,ID33,ID3302
Purbalingga,Kab. Purbalingga,ID33,ID3303
Banjarnegara,Kab. Banjarnegara,ID33,ID3304
Kebumen,Kab. Kebumen,ID33,ID3305
Purworejo,Kab. Purworejo,ID33,ID3306
Wonosobo,Kab. Wonosobo,ID33,ID3307
Magelang,Kab. Magelang,ID33,ID3308
Boyolali,Kab. Boyolali,ID33,ID3309
Klaten,Kab. Klaten,ID33,ID3310
Sukoharjo,Kab. Sukoharjo,ID33,ID3311
Wonogiri,Kab. Wonogiri,ID33,ID3312
Karanganyar,Kab. Karanganyar,ID33,ID3313
Sragen,Kab. Sragen,ID33,ID3314
Grobogan,Kab. Grobogan,ID33,ID3315
Blora,Kab. Blora,ID33,ID3316
Rembang,Kab. Rembang,ID33,ID3317
Pati,Kab. Pati,ID33,ID3318
Kudus,Kab. Kudus,ID33,ID3319
Jepara,Kab. Jepara,ID33,ID3320
Demak,Kab. Demak,ID33,ID3321
Semarang,Kab. Semarang,ID33,ID3322
Temanggung,Kab. Temanggung,ID33,ID3323
Kendal,Kab. Kendal,ID33,ID3324
Batang,Kab Batang,ID33,ID3325
Batang,Kab. Batang,ID33,ID3325
Pekalongan,Kab. Pekalongan,ID33,ID3326
Pemalang,Kab. Pemalang,ID33,ID3327
Tegal,Kab. Tegal,ID33,ID3328
Brebes,Kab. Brebes,ID33,ID3329
Surakarta City,Kota Surakarta,ID33,ID3372
Salatiga City,Kota Salatiga,ID33,ID3373
Kota Tegal,Kota Tegal,ID33,ID3376
Kota Pekalongan,Kota Pekalongan,ID33,ID3375
Kota Semarang,Kota Semarang,ID33,ID3374
Kota Magelang,Kota Magelang,,ID3371
