name,name_local,region_id,SO2,NOx,CO,NMVOC,NH3,PM,CH4,BC,OC
South Jakarta,Jakarta Selatan,ID3171,22449.14349,24229.54009,781736.2914,411111.2968,1454.719144,19687.54569,3549.979206,2888.246823,15306.01542
East Jakarta,Jakarta Timur,ID3172,17370.70245,18748.33807,604892.0539,318109.7762,1125.632852,15233.83279,2746.903575,2234.868168,11843.49148
Central Jakarta,Jakarta Pusat,ID3173,1045.56139,1128.482769,36409.10771,19147.37188,67.7530602,916.9408911,165.3391005,134.5191349,712.8725764
West Jakarta,Jakarta Barat,ID3174,13409.73973,14473.23932,466961.2544,245572.6425,868.9598832,11760.13079,2120.539575,1725.261286,9142.873678
North Jakarta,Jakarta Utara,ID3175,12679.50638,13685.09263,441532.6712,232199.8749,821.6402856,11119.72763,2005.064648,1631.311414,8644.994418
Bogor,Kab. Bogor,ID3201,4682.03234,3819.448592,186076.023,106746.2,30.09699197,5042.037495,340.936994,679.3424543,3978.642869
Sukabumi,Kab. Sukabumi,ID3202,1547.274629,1262.215951,61492.6785,35276.49425,9.946174801,1666.245794,112.6696961,224.5027944,1314.824999
Cianjur,Kab. Cianjur,ID3203,1307.612597,1066.707517,51967.89214,29812.4117,8.405581799,1408.155959,95.21794716,189.7288797,1111.167791
Karawang,Kab. Karawang,ID3215,2488.618386,2030.133348,98904.1037,56738.30007,15.99731103,2679.970214,181.2166192,361.0876644,2114.749125
Purwakarta,Kab. Purwakarta,ID3214,905.6263002,738.7802659,35991.92147,20647.47937,5.821537637,975.2606199,65.94604352,131.4024229,769.5725616
Subang,Kab. Subang,ID3213,1297.825031,1058.723141,51578.90907,29589.26385,8.342665471,1397.61582,94.50523461,188.3087467,1102.850628
Cirebon City,Kota Cirebon,ID3274,529.4576204,431.9141808,21042.00937,12071.16588,3.403454011,570.1680339,38.55413129,76.8219895,449.9163254
Cirebon,Kab. Cirebon ,ID3209,2059.691724,1680.229029,81857.45352,46959.15121,13.24008908,2218.063043,149.9829676,298.8522781,1750.260826
Indramayu,Kab. Indramayu ,ID3212,1524.898238,1243.962025,60603.38312,34766.33232,9.802335119,1642.148865,111.0402884,221.2560778,1295.810251
Kuningan,Kab. Kuningan,ID3208,968.7107677,790.2425077,38499.06067,22085.74948,6.22705656,1043.195702,70.53973855,140.5557037,823.1797451
Bandung City,Kota Bandung ,ID3273,4904.302988,4000.769704,194909.631,111813.7743,31.52578985,5281.398708,357.1223342,711.592955,4167.521429
West Bandung,Kab Bandung Barat,ID3217,1818.6852,1483.623803,72279.23357,41464.41543,11.69085343,1958.525338,132.4333153,263.8832835,1545.461111
Bandung,Kab. Bandung ,ID3204,3216.709978,2624.086615,127840.3386,73338.14497,20.67762188,3464.045342,234.2349114,466.7305761,2733.458312
Sumedang,Kab. Sumedang,ID3211,889.9667566,726.0057232,35369.57087,20290.45561,5.72087512,958.3970016,64.80574431,129.1302915,756.2655771
Garut,Kab. Garut,ID3205,1236.508893,1008.703445,49142.04785,28191.3101,7.948513708,1331.585036,90.04030611,179.4120428,1050.746115
Tasikmalaya City,Kota Tasikmalaya,ID3278,713.1085046,581.7305554,28340.76847,16258.24375,4.58399673,767.9399793,51.9272513,103.4689311,605.9770332
Tasikmalaya,Kab. Tasikmalaya,ID3206,875.9015167,714.5317613,34810.58202,19969.78057,5.63046109,943.2502743,63.78153938,127.0894865,744.3133815
Ciamis,Kab. Ciamis,ID3207,817.3164664,666.7399966,32482.26124,18634.09319,5.253865274,880.1605733,59.51548364,118.5890515,694.5296603
Pangandaran,Kab. Pangandaran,ID3218,258.0975731,210.5475444,10257.46224,5884.396591,1.659100156,277.9428988,18.79419114,37.44883119,219.3231473
Cimahi City,Kota Cimahi,ID3277,886.7613078,723.3908231,35242.17808,20217.37421,5.700269887,954.9450833,64.57232942,128.6651948,753.5416882
Banjar City,Kota Banjar,ID3279,197.5589393,161.1621103,7851.501027,4504.169237,1.269946335,212.7494017,14.38587903,28.66493969,167.8793327
Majalengka,Kab. Majalengka,ID3210,1038.812417,847.4291368,41285.08076,23684.00514,6.677683261,1118.687522,75.6444119,150.7271471,882.7499078
Depok City,Kota Depok ,ID3276,3358.507581,2739.760454,133475.7406,76571.00502,21.58912377,3616.745875,244.5603524,487.3047893,2853.953426
Bekasi City,Kota Bekasi,ID3275,4532.990198,3697.864895,180152.7045,103348.1708,29.13892081,4881.535385,330.084019,657.7170901,3851.991575
Bekasi,Kab. Bekasi ,ID3216,4358.607608,3555.609291,173222.2912,99372.40187,28.01795645,4693.744381,317.3857991,632.4149375,3703.80677
Bogor City,Kota Bogor,ID3271,1370.5483,1118.048402,54469.11906,31247.29012,8.810144437,1475.930838,99.80080945,198.8605755,1164.648559
Sukabumi City,Kota Sukabumi,ID3272,362.720952,295.8958693,14415.46476,8269.717178,2.33163908,390.6108517,26.41267339,52.62922677,308.2287828
Pandeglang,Kab. Pandeglang,ID3601,689.7971433,742.0584796,28688.02435,15101.79228,48.5196538,694.0589757,122.684542,79.70269358,557.037865
Lebak,Kab. Lebak,ID3602,818.4471659,880.4554578,34038.45965,17918.33905,57.56877008,823.5038476,145.5657169,94.56757586,660.9277326
Tangerang,Kab. Tangerang,ID3603,4556.609895,4901.833885,189505.1856,99758.27937,320.5074662,4584.762386,810.4202859,526.4940364,3679.638677
Serang,Kab. Serang,ID3604,1335.489397,1436.670536,55541.7672,29237.99215,93.93701298,1343.740565,237.524766,154.3092824,1078.459326
Tangerang City,Kota Tangerang,ID3671,4010.781396,4314.651596,166804.6838,87808.40586,282.1144255,4035.561548,713.3414272,463.4262171,3238.861059
Cilegon City,Kota Cilegon,ID3672,662.8417638,713.0608705,27566.97508,14511.65568,46.62363887,666.9370555,117.8903668,76.58813103,535.2703538
Serang City,Kota Serang,ID3673,723.9440676,778.792489,30108.16331,15849.37403,50.92151493,728.4168729,128.7577765,83.64820405,584.6128267
South Tangerang City,Kota Tangerang Selatan,ID3674,3032.633723,3262.396186,126124.4279,66393.72891,213.3124785,3051.370502,539.3720211,350.4060269,2448.968991
West Lampung,Kab. Lampung Barat,ID1801,412.5076575,365.9563777,14276.94287,7838.664283,12.0371143,371.9223878,41.52568471,50.85856666,292.5096122
