"","sector","poll","value_tab","value_nc","diff_ratio","status"
"1","agroob","SO2",7720.97905469214,7211.59271065094,0.0659743201520065,"FAIL"
"2","agroob","NOx",91824.5334776709,85781.7044732393,0.0658084367605423,"FAIL"
"3","agroob","CO",6479182.76919841,6062092.66158992,0.064373875913997,"FAIL"
"4","agroob","NMVOC",271537.838517225,253785.382068845,0.0653774683680166,"FAIL"
"5","agroob","NH3",141255.149898647,132237.643758347,0.0638384239213236,"FAIL"
"6","agroob","PM",620201.566478813,580388.337514127,0.0641940154887464,"FAIL"
"7","agroob","CH4",156519.093882221,146404.943942287,0.0646192722502235,"FAIL"
"8","agroob","BC",20788.8525446543,19426.0610245134,0.0655539557661312,"FAIL"
"9","agroob","OC",108755.594313828,101728.323915464,0.0646152544400253,"FAIL"
"10","aviation","SO2",1254.912,1254.9120225152,1.7941656320565e-08,"PASS"
"11","aviation","NOx",19751.96892,19751.9686453789,1.39034775133395e-08,"PASS"
"12","aviation","CO",12678.57398,12678.574061729,6.44623084888197e-09,"PASS"
"13","aviation","NMVOC",2498.56972,2498.56975788251,1.51616762726937e-08,"PASS"
"14","aviation","NH3",NA,0,NA,"PASS"
"15","aviation","PM",215.788952,215.788954540039,1.17709429643572e-08,"PASS"
"16","aviation","CH4",60.5829,60.582898814755,1.95640186100122e-08,"PASS"
"17","aviation","BC",40.9714032,40.9714028177405,9.32991094457325e-09,"PASS"
"18","aviation","OC",62.5279312,62.5279329654586,2.82347195083276e-08,"PASS"
"19","comres","SO2",4642.15420429497,4609.1298702376,0.0071140105657874,"PASS"
"20","comres","NOx",25673.4575676165,25489.3974875321,0.00716927510054527,"PASS"
"21","comres","CO",653465.460669581,643650.215532617,0.0150202967528032,"PASS"
"22","comres","NMVOC",73113.3380915493,71994.0363037193,0.0153091326021591,"PASS"
"23","comres","NH3",10001.8068877414,9845.02062370517,0.015675793963626,"PASS"
"24","comres","PM",85215.2868704139,83932.4233748627,0.0150543821732598,"PASS"
"25","comres","CH4",70534.6530755012,69481.0092656261,0.0149379597677645,"PASS"
"26","comres","BC",9400.27723576566,9276.29841267222,0.0131888475184253,"PASS"
"27","comres","OC",37337.8497084735,36754.2147010084,0.015631189584351,"PASS"
"28","forest","SO2",284.25355308,273.10476591874,0.0392212763585821,"PASS"
"29","forest","NOx",1221.7915878,1173.87136303897,0.0392212757392755,"PASS"
"30","forest","CO",51863.806176,49829.6419418052,0.0392212678585875,"PASS"
"31","forest","NMVOC",4039.3925964,3880.96246121597,0.0392212768140495,"PASS"
"32","forest","NH3",379.00473744,364.13969135747,0.0392212672140617,"PASS"
"33","forest","PM",9339.34476719999,9053.97285319046,0.0305558817157888,"PASS"
"34","forest","CH4",3391.0950192,3258.09195690362,0.0392212726400569,"PASS"
"35","forest","BC",329.13569304,316.226570046264,0.0392212794501368,"PASS"
"36","forest","OC",2593.1903088,2491.48211802759,0.0392212597846222,"PASS"
"37","gasdist","SO2",0,0,NA,"PASS"
"38","gasdist","NOx",0,0,NA,"PASS"
"39","gasdist","CO",0,0,NA,"PASS"
"40","gasdist","NMVOC",51056.5587097674,50995.0046864417,0.00120560462516851,"PASS"
"41","gasdist","NH3",0,0,NA,"PASS"
"42","gasdist","PM",0,0,NA,"PASS"
"43","gasdist","CH4",0,0,NA,"PASS"
"44","gasdist","BC",0,0,NA,"PASS"
"45","gasdist","OC",0,0,NA,"PASS"
"46","industry","SO2",35832.6138025585,35648.9618554824,0.00512527353120128,"PASS"
"47","industry","NOx",837815.17747923,831519.712534699,0.00751414525990458,"PASS"
"48","industry","CO",30612334.436794,30378609.2651726,0.00763499994108284,"PASS"
"49","industry","NMVOC",77989.9365791551,77399.4630727849,0.00757114997485478,"PASS"
"50","industry","NH3",20048.11046852,19895.0410316222,0.00763510541994109,"PASS"
"51","industry","PM",33156.8971766646,33024.2994906417,0.00399909814589595,"PASS"
"52","industry","CH4",16049.505173511,15929.5382992344,0.00747480205649039,"PASS"
"53","industry","BC",521.326744211724,517.577415748202,0.00719189741395378,"PASS"
"54","industry","OC",411.92772912295,409.142507137777,0.00676143359201098,"PASS"
"55","landfill","SO2",NA,0,NA,"PASS"
"56","landfill","NOx",NA,0,NA,"PASS"
"57","landfill","CO",NA,0,NA,"PASS"
"58","landfill","NMVOC",NA,0,NA,"PASS"
"59","landfill","NH3",NA,0,NA,"PASS"
"60","landfill","PM",NA,0,NA,"PASS"
"61","landfill","CH4",3314.43589038969,3252.08282334308,0.018812572971288,"PASS"
"62","landfill","BC",NA,0,NA,"PASS"
"63","landfill","OC",NA,0,NA,"PASS"
"64","livestock","SO2",0,0,NA,"PASS"
"65","livestock","NOx",0,0,NA,"PASS"
"66","livestock","CO",0,0,NA,"PASS"
"67","livestock","NMVOC",0,0,NA,"PASS"
