Reference,PLANT_ID,PLANT_NAME,IND_DESC,PARENTNAME,LATITUDE,LONGITUDE,Province,CAPACITY (T/yr),PRODUCT_DESC,PROPER NAME,Source,,,,,
Industry Info,3060411,Banyuwangi Cement Grinding,Cement,Bosowa Corporation,-8.17696,114.3833,,1200000,Portland Cement,,,,,,,
Industry Info,3130645,Karawang Cement & Limestone Quarry,Cement,PT Jui Shin Indonesia,-6.46149,107.2126,,2000000,Portland Cement,,,,,,,
Industry Info,3172488,Kutai Kartanegara Cement Grinding,Cement,PT Semeru Surya Semen,-0.80745,117.2446,,1000000,Portland Cement,,,,,,,
Industry Info,1082664,Pangkep Tonasa Cement & Limestone Quarry,Cement,PT Semen Indonesia TBK,-4.7897,119.6172,,7000000,"Limestone, Crushed Or Broken",,,,,,,
Industry Info,3231250,Serang Cement Grinding,Cement,PT Sun Fook Industries Indonesia,-5.95559,106.1037,,1200000,Portland Cement,,,,,,,
Industry Info,3022011,Bogor Narogong Cement & Limestone Quarry,Cement,PT Semen Indonesia TBK,-6.46124,106.9353,,7000000,"Limestone, Crushed Or Broken",,,,,,,
Industry Info,1078345,Tuban Cement & Quarry,Cement,PT Semen Indonesia TBK,-6.81556,111.8833,,2000000,"Limestone, Crushed Or Broken","PT. Semen Indonesia (Persero), Tbk. - Pabrik Tuban",,,,,,
Industry Info,3022334,Rembang Cement & Limestone Quarry,Cement,PT Semen Indonesia TBK,-6.85272,111.4046,,2000000,"Limestone, Crushed Or Broken",PT. Semen Indonesia (Persero) Tbk. - Pabrik Rembang,,,,,,
Industry Info,3102301,Bekasi Cement Grinding,Cement,PT Cipta Mortar Utama,-6.30336,107.0932,,170000,Portland Cement,,,,,,,
Industry Info,3052706,Sukabumi Siam Cement & Limestone Quarry,Cement,The Siam Cement Public Company Limited PLC,-6.9768,106.8584,,2000000,"Limestone, Crushed Or Broken",SCG Cement - Building Materials Co. Ltd,,,,,,
Industry Info,3318096,Bengkulu Cement Mini Grinding,Cement,PT Ganda Group,-3.89081,102.3258,,220000,Portland Cement,,,,,,,
Industry Info,3346310,Ciwandan Cement Grinding,Cement,PT Ganda Group,-3.89081,102.3258,,1750000,Portland Cement,,,,,,,
Industry Info,3022211,Tuban Cement & Limestone Quarry,Cement,PT Semen Indonesia TBK,-6.86655,111.9115,,3500000,"Limestone, Crushed Or Broken","PT. Holcim, Tbk. - Plant Tuban",,,,,,
Industry Info,3021778,Cilacap Cement & Limestone Quarry,Cement,PT Semen Indonesia TBK,-7.6813,109.0179,,3500000,"Limestone, Crushed Or Broken",,,,,,,
Industry Info,3023377,Citeureup Cement Complex & Limestone Quarry,Cement,HeidelbergCement AG,-6.48073,106.8982,,10000000,"Limestone, Crushed Or Broken",,"https://indocement.co.id/v5/IndocementContent/AR%20SR/2019/AR%20Indocement%202019_Medium.pdf
 https://indocement.co.id/v5/IndocementContent/AR%20SR/2019/SR_2019_Low.pdf",,,,,
Industry Info,3081186,Kupang Cement and Limestone Quarry,Cement,PT Semen Indonesia TBK,-10.1952,123.5391,,5000000,"Limestone, Crushed Or Broken",,,,,,,
Industry Info,3346565,Gresik Cement Grinding,Cement,PT Ganda Group,-7.11862,112.6191,,1000000,Portland Cement,,,,,,,
