Reference/ PlantID,lon,lat,Nama Perusahaan,Kab.Kota,Provinsi,distance_from_jakarta_km,Jenis Industri,General Industri Group,Capacity,Unit,Generation (MWh),Fuel,Consumption,Product/Production,Amount,Cross-Check Industry,Note,Source
PROPER 2019,107.842339,-6.569771,PT. Dahana (Persero),Kab. Subang,West Java,117.3621174,Explosives,Heavy industry,,,,,,,,,No Information,
PROPER 2019,107.5824015,-6.8984052,PT. Dirgantara Indonesia (Persero),Kota Bandung,West Java,111.9525059,Aero Manufacturing,Heavy industry,,,,,,,,Manufacturing,company involved in aircraft design and the development and manufacture of civilian and military regional commuter aircraft.,
PROPER 2019,106.0227912,-5.9944299,PT. Seamless Pipe Indonesia Jaya,Kota Cilegon,Banten,94.14903024,Pipe,Heavy industry (construction),,,,,,167.000 ton pipe per year,,Construction,,
PROPER 2019,106.6950006,-6.1601475,PT. Bakrie Building Industri,Kota Jakarta Barat,DKI Jakarta,17.52359977,Building Material Industry,Heavy industry (construction),350000,tons,57292167 KWH,Gasoline,342424 Liter,"Versa board and versa wood 
Fiber cement building products and AC pipes",,,*Electric and gasoline consumption based on all the plant that Bakrie and Brothers have,
PROPER 2019,107.404119,-6.415888,"PT. Asahimas Flat Glass, Tbk. Cikampek Plant",Kab. Karawang,West Java,65.95845088,Glass,Glass,"5,800,000",m2,,,,Flat Glass production capacity,420 ribu ton,,This is a new plant from PT. Asahimas Glass replacing old plant in Jakarta,
PROPER 2019,107.1401622,-6.3074721,PT. Mulia Glass,Kab. Bekasi,West Java,34.39751221,Glass,Glass,,,,,,"Float Glass (in ton)
 Glass Container (in ton)
 Glass Block (in ton)","620.500
 164.250
 67.525",,,https://muliaindustrindoweb.s3.ap-southeast-1.amazonaws.com/upload/annual_report/31_blob.pdf
PROPER 2019,106.8193445,-6.1215327,"PT. Asahimas Flat Glass, Tbk. Ancol Plant",Kota Jakarta Utara,DKI Jakarta,10.13590926,Glass,Glass,"720,000",tons,,,,Float glass,,,"This plant is in Jakarta, however since 2019, the production in this plant has stopped and moved to Cikampek, West Java.",http://www.amfg.co.id/en/investor/investor-information/annual-report/2020/06/30/annual-report-2019/
PROPER 2019,105.6267881,-6.7489212,PT. Cibaliung Sumber Daya,Kab. Pandeglang,Banten,147.6125427,Mineral Mining,Metal & non-metallic minerals,,,,"1. Listrik (PLN)/ Supplied Electricity
 2. Listrik (PLTD)/Diesel Power Plant"," 1. 56.560.419 KWh
 2. 264.140 KWh",Gold. Total Produksi,"1.962 kg (63.111 t.oz),",,,"https://www.antam.com/uploads/kinerja-lingkungan-energi.pdf
 https://www.antam.com/uploads/kinerja-lingkungan-emisi.pdf"
PROPER 2019,106.0111022,-5.9973447,PT. NS BlueScope Indonesia,Kota Cilegon,Banten,95.32032405,Metal Plating,Metal & non-metallic minerals,,,,,,,,,No specific information,https://www.nsbluescope.com/id/wp-content/uploads/sites/6/2019/05/BlueScopes-Sustainability-Report-FY2018.pdf
PROPER 2019,106.0129685,-6.0008873,PT. Hitachi Metal Indonesia,Kota Cilegon,Banten,95.0230557,Magnet,Metal & non-metallic minerals,,,,,,ferrite magnet,,,No specific information,https://www.hitachi-metals.co.jp/e/ir/pdf/ar/2020/2020_all.pdf https://www.hitachi-metals.co.jp/e/csr/pdf/2019/detail_csr2019_11.pdf
PROPER 2019,106.0131097,-6.0082595,PT. Pelat Timah Nusantara,Kota Cilegon,Banten,94.81073847,Metal Plating,Metal & non-metallic minerals,,,,,,,,,No specific information,http://www.latinusa.co.id/upload/module/laporan_keuangan/laporan-keuangan-tahunan-detail-1585641557-74.pdf
PROPER 2019,106.020118,-6.0064627,PT. Karunia Berca Indonesia,Kota Cilegon,Banten,94.10480149,Metal Plating,Metal & non-metallic minerals,,,,,,"Workshop : 40.000 ton per annum
Galvanizing : 36.000 ton per annum",,,,
PROPER 2019,106.339588,-6.184971,PT. Astrindo Lestari Chemicals,Kab. Serang,Banten,56.06234514,Chemicals,Metal & non-metallic minerals,,,,,,,,Ports & Transportation,,
PROPER 2019,106.4967539,-6.2078244,PT. Alko Mandiri,Kab. Tangerang,Banten,38.60565508,Metal Processing,Metal & non-metallic minerals,,,,,,Aluminium,,,No specific information,
PROPER 2019,106.50603,-6.2193138,PT. Putra Bangun Citra Mandiri,Kab. Tangerang,Banten,37.59689736,Metal Processing,Metal & non-metallic minerals,700,tons,,,,"Installed : 700 Ton
",,,,http://www.giamm.or.id/detail?companyid=197
PROPER 2019,106.5393298,-6.2334194,PT. Galvindo Intiselaras,Kab. Tangerang,Banten,34.00391016,Metal Plating,Metal & non-metallic minerals,,,,,,,,,No specific information,
PROPER 2019,106.5791039,-6.2179141,PT. YKK AP Indonesia,Kab. Tangerang,Banten,29.50942064,Metal Processing,Metal & non-metallic minerals,,,,,,Aluminium,,,No specific information,
PROPER 2019,106.6532908,-6.2990224,PT. Zinkpower Austrindo,Kab. Tangerang,Banten,23.53302008,Metal Plating,Metal & non-metallic minerals,,,,,,"Hot-Dip Galvanizing
 Passivation",,,"Kettle dimensions: 10.0 x 1.5 x 3.0 m as well as Kettle dimensions: 13,0 x 2,0 x 3,4 m
 No specific information about the emissions",
PROPER 2019,107.6469288,-6.9335175,PT. Pindad (Persero),Kota Bandung,West Java,119.8420291,Metal Processing,Metal & non-metallic minerals,,,,,,provides the needs of the weapons system’s main tools,,,No Information,
PROPER 2019,106.5641974,-6.6633428,PT. Aneka Tambang (Persero) Tbk. Unit Bisnis Pertambangan Emas Pongkor,Kab. Bogor,West Java,59.41102257,Tambang Mineral,Metal & non-metallic minerals,1.962,kg,,,,Gold,(63.111 t.oz),,,"https://www.antam.com/uploads/kinerja-lingkungan-energi.pdf
 https://www.antam.com/uploads/kinerja-lingkungan-emisi.pdf"
PROPER 2019,107.3306615,-6.3821501,PT. Chunpao Steel Indonesia,Kab. Karawang,West Java,57.03635553,Metal Processing,Metal & non-metallic minerals,,,,,,,,,"No specific information, the company does not own a website",
PROPER 2019,107.1229481,-6.3232536,PT. Walsin Lippo Industries,Kab. Bekasi,West Java,33.23108837,Metal Plating,Metal & non-metallic minerals,,,,,,Steel wires,,,"PT. Walsin Lippo Industries is a joint venture company between Walsin Lihwa Corporation of Taiwan and Lippo Group, Indonesia.","https://www.walsin.com/walsin/download/Annual%20Report_EN.pdf
 https://www.walsin.com/csr/eng/download/walsinCSR2019EN.pdf"
PROPER 2019,106.8788413,-6.500519,PT. Sumiden Serasi Wire Products,Kab. Bogor,West Java,32.68565473,Metal Plating,Metal & non-metallic minerals,,,,,,"Pre-stressed Concrete Materials (PC. Products), Spring Wires, Bead Wires, and Oil Tempered Wire",,,,"https://global-sei.com/csr/download/pdf/csr2020.pdf
 https://global-sei.com/csr/environment/"
PROPER 2019,106.9397547,-6.4472602,PT. Galvindo Ampuh,Kab. Bogor,West Java,28.52002448,Metal Plating,Metal & non-metallic minerals,,,,,,,,,"Weighing Bridge Scale with 60MT Capacity
 7 pairs of Overhead Crane with 5MT Capacity each
 12 Concrete treatment tanks
 Steel Galvanizing Tank (12.5m X 1.5m X 2.4m)
 1 Steel tank for quenching",
PROPER 2019,107.0917674,-6.2829274,PT. YKK Zipco Indonesia,oil,West Java,28.46426609,Metal Plating,Metal & non-metallic minerals,,,,,,,,,Sub group from YKK Japan. There is no specific information Indonesia,"https://www.ykkap.co.jp/company/en/download/pdf/report2020_en.pdf https://www.ykk.com/english/shared/pdf/corporate/csr/eco/report/2020/This_is_YKK_2020_data18-26_en.pdf
https://www.ykk.com/english/shared/pdf/corporate/csr/eco/report/2020/This_is_YKK_2020_data15-17_en.pdf
https://www.ykk.com/english/shared/pdf/corporate/csr/eco/report/2020/This_is_YKK_2020_all_en.pdf"
PROPER 2019,107.0506636,-6.2641914,PT. Citra Galvanizing Indonesia,Kab. Bekasi,West Java,23.51648975,Metal Plating,Metal & non-metallic minerals,50000,tons,,,,,,,,
PROPER 2019,107.0509133,-6.2594712,PT. Binder Indonesia,Kab. Bekasi,West Java,23.41103593,Metal Processing,Metal & non-metallic minerals,,,,,,No Information,,,,
PROPER 2019,107.0006444,-6.3116831,PT. Logam Jaya Abadi Plant 1,Kota Bekasi,West Java,20.63038618,Metal Smelting,Metal & non-metallic minerals,,,,,,,,,No Information,
PROPER 2019,106.9794826,-6.2104822,PT. Aluminium Extrusion Indonesia,Kota Bekasi,West Java,14.8176458,Metal Processing,Metal & non-metallic minerals,,,,,,Aluminium and Steel Coil,,,,
PROPER 2019,106.9208265,-6.1862924,PT. The Master Steel Manufactory,Kota Jakarta Timur,DKI Jakarta,8.693023844,Metal Smelting,Metal & non-metallic minerals,2400000000,tons,,,,,,,"2 million tpa capacity by 2014 with the on-going modernization and expansion project of the new state-of-the-art 600,000 tpa bar mill, 500,000 tpa wire-rod and bar combi-mill.",http://www.themastersteel.com/discover.php?id=1
PROPER 2019,106.9169687,-6.1938928,PT. Tobu Indonesia Steel,Kota Jakarta Timur,DKI Jakarta,8.069958277,Reheating Metal,Metal & non-metallic minerals,,,,,,,,,No specific information,
PROPER 2019,105.9328049,-6.0353513,PT. Chandra Asri,Kota Cilegon,Banten,102.859909,Petrochemicals,Petrochemicals & Plastics,,,,,,,,,,"https://www.chandra-asri.com/files/About/COMPRO_CAP%20SPREAD%20FINAL.pdf
 https://www.chandra-asri.com/files/reports/SR/Laporan%20Keberlanjutan%202019%20PT%20Chandra%20Asri%20Petrochemical%20Tbk.pdf
 https://www.chandra-asri.com/files/attachments/reports/annual/Annual%20Report%20CAP%202019.pdf"
