longitude,latatitude,Name,No,Jenis.Industri,Group Description,Kab.Kota,Provinsi,query,distance_from_jakarta_km
105.9706517,-6.0225497,PT. Pundi Kencana,151,Tepung,Food & Beverage,Kota Cilegon,Banten,"Kota Cilegon, Banten, Indonesia",99.03799023
106.0018947,-5.9209164,PT. Pertamina (Persero) Marketing Operation Region III Depot LPG Tj. Sekong,126,Migas Distribusi,Power & Energy,Kota Cilegon,Banten,"Kota Cilegon, Banten, Indonesia",98.73888973
105.9752979,-6.0192634,PT. Permata Dunia Sukses Utama,118,Gula Rafinasi,Agro-based industry,Kota Cilegon,Banten,"Kota Cilegon, Banten, Indonesia",98.61306826
105.983916,-5.9947979,PT. Krakatau Daya Listrik,148,PLTU,Power & Energy,Kota Cilegon,Banten,"Kota Cilegon, Banten, Indonesia",98.30769067
105.9763893,-6.0292548,PT. Cerestar Flour Mills,150,Tepung,Food & Beverage,Kota Cilegon,Banten,"Kota Cilegon, Banten, Indonesia",98.26198371
105.9984815,-5.963957,PT. Unggul Indah Cahaya,140,Petrokimia,"Petroleum, Chemicals & Plastics",Kota Cilegon,Banten,"Kota Cilegon, Banten, Indonesia",97.64881799
105.9998522,-5.9595318,PT. Dover Chemical,124,Kimia,"Petroleum, Chemicals & Plastics",Kota Cilegon,Banten,"Kota Cilegon, Banten, Indonesia",97.64232543
107.6746852,-6.5073673,PT. Bina Mentari Tunggal,612,Peternakan,Agro-based industry,Kab. Subang,Jawa Barat,"Kab. Subang, Jawa Barat, Indonesia",97.56291988
106.0001234,-5.9613943,PT. Castrol Indonesia,152,Pelumas,"Petroleum, Chemicals & Plastics",Kota Cilegon,Banten,"Kota Cilegon, Banten, Indonesia",97.55466208
105.9909027,-5.99613,PT. Krakatau Posco,131,Peleburan Logam,Metal & non-metallic minerals,Kota Cilegon,Banten,"Kota Cilegon, Banten, Indonesia",97.52135182
