country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,estimated_generation_gwh
IDN,Indonesia,Amamapare Port power station,WRI1075798,195,-4.8278,136.8391,Coal,,,,1998,PT Puncakjaya Power,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,799.9434084
IDN,Indonesia,Ampenan,WRI1000736,56.284,-8.5667,116.0667,Oil,,,,,PLN - West Nusa Tenggara Regional Unit/NTB,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026032,,,,,,,2053.000439
IDN,Indonesia,Amurang power station,WRI1075799,60,1.1825,124.4806,Coal,,,,2012,PLN,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,246.1364334
IDN,Indonesia,Asahan I,WRI1000737,180,2.5113,99.259,Hydro,,,,,PT Bajradaya Sentranusa (China Huadian Corporation 70% + PJB 26.5%+Nusa Konstruksi Engineering 3.5%),Indonesia Power Generation,https://repit.wordpress.com/,WRI,1076093,,,,,,,598.0008738
IDN,Indonesia,Bakaru,WRI1000738,126,-3.1141,119.6042,Hydro,,,,,PLN-South&South East Sulawesi Regional Unit,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1026035,,,,,,,418.6006116
IDN,Indonesia,Balambano,WRI1000739,130,-2.5213,121.357,Hydro,,,,,PT. Inco,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,1025948,,,,,,,431.8895199
IDN,Indonesia,Banten Serang power station,WRI1075800,660,-5.883,106.0459,Coal,,,,2017,PT Lestari Baten Energi (LBE),GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,2707.500767
IDN,Indonesia,Batu Hijau power station,WRI1075801,124,-8.9012,116.7382,Coal,,,,1999,Pt Newmont Nusa Tenggara,GCPT,https://endcoal.org/global-coal-plant-tracker/,GCPT,,,,,,,,508.6819623
IDN,Indonesia,Bengkok+Dago/saguling,WRI1000743,3.85,-6.6247,107.5564,Hydro,,,,,PLN - PT. Indonesia Power,Indonesia Power Generation,https://repit.wordpress.com/,CARMA,,,,,,,,12.79057424
IDN,Indonesia,Besai - Way Kanan,WRI1000744,92.8,-4.9822,104.8051,Hydro,,,,,PLN-South Sumatera Generation Unit,Indonesia Power Generation,https://repit.wordpress.com/,WRI,1026048,,,,,,,308.3026727
IDN,Indonesia,Bili bili,WRI1000745,20.1,-5.2779,119.5817,Hydro,,,,,PLN,Indonesia Power Generation,https://repit.wordpress.com/,WRI,1092163,,,,,,,66.77676424
