hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
0,4.34764E-05,4.34764E-05,4.34764E-05,4.34764E-05,4.34764E-05,4.34764E-05,4.34764E-05
1,4.34764E-05,4.34764E-05,4.34764E-05,4.34764E-05,4.34764E-05,4.34764E-05,4.34764E-05
2,4.34764E-05,4.34764E-05,4.34764E-05,4.34764E-05,4.34764E-05,4.34764E-05,4.34764E-05
3,4.34764E-05,4.34764E-05,4.34764E-05,4.34764E-05,4.34764E-05,4.34764E-05,4.34764E-05
4,4.34764E-05,4.34764E-05,4.34764E-05,4.34764E-05,4.34764E-05,4.34764E-05,4.34764E-05
5,4.34764E-05,4.34764E-05,4.34764E-05,4.34764E-05,4.34764E-05,4.34764E-05,4.34764E-05
6,4.34764E-05,0.000130429,0.000130429,8.69527E-05,8.69527E-05,8.69527E-05,4.34764E-05
7,4.34764E-05,0.000173905,0.000173905,0.000130429,0.000130429,0.000130429,4.34764E-05
8,4.34764E-05,0.000173905,0.000173905,0.000173905,0.000173905,0.000130429,8.69527E-05
9,4.34764E-05,0.000130429,0.000130429,0.000130429,0.000173905,0.000130429,8.69527E-05
10,8.69527E-05,0.000130429,0.000173905,0.000173905,0.000173905,0.000173905,0.000130429
11,8.69527E-05,0.000130429,0.000173905,0.000173905,0.000173905,0.000173905,0.000173905
12,8.69527E-05,0.000130429,0.000130429,0.000130429,0.000130429,0.000130429,0.000173905
13,0.000130429,0.000130429,0.000130429,0.000130429,0.000130429,0.000130429,0.000173905
14,0.000130429,0.000130429,0.000173905,0.000173905,0.000173905,0.000173905,0.000173905
15,0.000130429,0.000130429,0.000173905,0.000173905,0.000173905,0.000173905,0.000173905
16,0.000130429,0.000173905,0.000173905,0.000173905,0.000173905,0.000173905,0.000173905
17,0.000130429,0.000173905,0.000217382,0.000217382,0.000217382,0.000217382,0.000173905
18,0.000130429,0.000173905,0.000217382,0.000217382,0.000217382,0.000217382,0.000173905
19,0.000130429,0.000173905,0.000173905,0.000173905,0.000173905,0.000217382,0.000173905
20,8.69527E-05,0.000130429,0.000130429,0.000130429,0.000130429,0.000173905,0.000130429
21,8.69527E-05,8.69527E-05,0.000130429,0.000130429,8.69527E-05,0.000130429,0.000130429
22,8.69527E-05,8.69527E-05,8.69527E-05,8.69527E-05,8.69527E-05,0.000130429,0.000130429
23,4.34764E-05,4.34764E-05,4.34764E-05,4.34764E-05,4.34764E-05,8.69527E-05,8.69527E-05
